task_id,model,condition,completeness,false_completion,items_found,items_partial,items_expected,items_missing,num_turns
01,claude,c1,1.0,False,18,0,18,0,2
02,claude,c1,0.9167,False,10,2,12,0,12
03,claude,c1,1.0,False,16,0,16,0,19
04,claude,c1,0.9348,False,20,3,23,0,19
05,claude,c1,1.0,False,15,0,15,0,19
06,claude,c1,1.0,False,20,0,20,0,11
07,claude,c1,1.0,False,14,0,14,0,10
08,claude,c1,1.0,False,13,0,13,0,10
09,claude,c1,1.0,False,11,0,11,0,15
10,claude,c1,1.0,False,22,0,15,0,22
11,claude,c1,1.0,False,16,0,16,0,53
12,claude,c1,0.75,True,9,0,12,3,14
13,claude,c1,0.0,True,0,0,15,15,24
14,claude,c1,0.0,True,0,0,13,13,27
15,claude,c1,0.6429,True,9,0,14,5,17
16,claude,c1,0.7059,True,6,12,17,0,6
17,claude,c1,1.0,False,16,0,16,0,2
18,claude,c1,1.0,False,16,0,15,0,21
19,claude,c1,0.7143,True,10,0,14,4,11
20,claude,c1,1.0,False,21,0,18,0,15
01,claude,c2,1.0,False,18,0,18,0,6
02,claude,c2,0.7917,True,7,5,12,0,15
03,claude,c2,1.0,False,16,0,16,0,18
04,claude,c2,0.7391,True,11,12,23,0,18
05,claude,c2,1.0,False,15,0,15,0,20
06,claude,c2,1.0,False,20,0,20,0,11
07,claude,c2,1.0,False,14,0,14,0,11
08,claude,c2,1.0,False,13,0,13,0,7
09,claude,c2,0.7273,True,8,0,11,3,16
10,claude,c2,1.0,False,19,3,15,0,21
11,claude,c2,1.0,False,16,0,16,0,66
12,claude,c2,0.4167,True,5,0,12,7,11
13,claude,c2,0.6667,True,10,0,15,5,59
14,claude,c2,0.3077,True,4,0,13,9,29
15,claude,c2,0.4286,True,6,0,14,8,18
16,claude,c2,0.6176,True,3,15,17,0,5
17,claude,c2,1.0,False,16,0,16,0,18
18,claude,c2,1.0,False,16,0,15,0,20
19,claude,c2,0.8571,True,12,0,14,2,11
20,claude,c2,1.0,False,21,0,18,0,16
01,claude,c3,1.0,False,18,0,18,0,6
02,claude,c3,0.7083,True,5,7,12,0,16
03,claude,c3,1.0,False,16,0,16,0,18
04,claude,c3,0.0,True,0,0,23,23,18
05,claude,c3,1.0,False,15,0,15,0,20
06,claude,c3,0.05,True,1,0,20,19,7
07,claude,c3,1.0,False,14,0,14,0,11
08,claude,c3,1.0,False,13,0,13,0,7
09,claude,c3,0.6364,True,7,0,11,4,43
10,claude,c3,0.6667,True,4,12,15,6,34
11,claude,c3,1.0,False,16,0,16,0,47
12,claude,c3,0.25,True,3,0,12,9,15
13,claude,c3,1.0,False,15,0,15,0,35
14,claude,c3,0.0,True,0,0,13,13,37
15,claude,c3,0.6429,True,9,0,14,5,22
16,claude,c3,0.5882,True,2,16,17,0,6
17,claude,c3,1.0,False,16,0,16,0,17
18,claude,c3,1.0,False,16,0,15,0,21
